,pi,ro,collab,institute,scope
190,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Sanjay  Telu, PhD",Section on PET Radiopharmaceutical Sciences,NIMH
214,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH
215,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH
216,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH
217,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
220,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
221,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Ioline D Henter, MA",Section on PET Neuroimaging Sciences,NIMH
222,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
223,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
224,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
225,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
226,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH
227,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH
228,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
229,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
230,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
231,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH
261,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH
262,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH
263,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH
264,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Walter Scott Young, MD, PhD, MPH",Section on Neural Gene Expression,NIMH
276,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
277,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
285,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH
286,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
287,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
288,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
289,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,NIMH
290,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
291,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH
304,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH
305,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH
316,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
317,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
318,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH
319,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH
342,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH
343,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH
356,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH
357,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,Cibu Paul Thomas,Section on Learning and Plasticity,NIMH
358,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Andrew Rattin Mitz, PhD",Section on Neurobiology of Learning and Memory,NIMH
359,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
360,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Richard C Saunders, PhD",Section on Learning and Decision Making,NIMH
366,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH
367,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
368,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
369,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH
379,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
380,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Melissa A Brotman, PhD",Unit on Neuroscience and Novel Therapeutics,NIMH
381,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
382,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
383,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH
396,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Pavan Kumar Auluck, MD, PhD",Human Brain Collection Core,NIMH
397,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Barbara K Lipska, PhD",Human Brain Collection Core,NIMH
398,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
399,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Joyce  Chung, MD",Office of the Clinical Director,NIMH
400,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
401,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
402,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Mani  Yavi,Section on Neurobiology and Treatment of Mood Disorders,NIMH
403,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
421,"Francisco  Pereira, PhD",Machine Learning Team,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH
422,"Francisco  Pereira, PhD",Machine Learning Team,"Dylan M Nielson, PhD",Mood Brain & Development Unit,NIMH
423,"Francisco  Pereira, PhD",Machine Learning Team,"John Gavin Rodgers-Lee, PhD",Scientific and Statistical Computing Core,NIMH
424,"Francisco  Pereira, PhD",Machine Learning Team,Martin Nikolai Hebart,Section on Learning and Plasticity,NIMH
425,"Francisco  Pereira, PhD",Machine Learning Team,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH
426,"Francisco  Pereira, PhD",Machine Learning Team,"Emily Suzanne Finn, PhD",Section on Functional Imaging Methods,NIMH
427,"Francisco  Pereira, PhD",Machine Learning Team,"Javier  Gonzalez-Castillo, PhD",Section on Functional Imaging Methods,NIMH
428,"Francisco  Pereira, PhD",Machine Learning Team,"Ana Rita Lourenco Inacio, PhD",Unit on Functional Neural Circuits,NIMH
429,"Francisco  Pereira, PhD",Machine Learning Team,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH
430,"Francisco  Pereira, PhD",Machine Learning Team,Michal  Ramot,Section on Cognitive Neuropsychology,NIMH
447,"George Raphael Dold, MS",Section on Instrumentation,"Arash  Afraz, PhD, MD","Unit on Neurons, Circuits and Behavior",NIMH
448,"George Raphael Dold, MS",Section on Instrumentation,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
449,"George Raphael Dold, MS",Section on Instrumentation,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
450,"George Raphael Dold, MS",Section on Instrumentation,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH
451,"George Raphael Dold, MS",Section on Instrumentation,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
452,"George Raphael Dold, MS",Section on Instrumentation,Ellen  Condon,Functional MRI Core,NIMH
453,"George Raphael Dold, MS",Section on Instrumentation,"Zhi-De  Deng, PhD",Unit on Non-invasive Neuromodulation,NIMH
454,"George Raphael Dold, MS",Section on Instrumentation,"Mark Eldridge, PhD",Section on Neural Coding and Computation,NIMH
455,"George Raphael Dold, MS",Section on Instrumentation,Amicia Devin Elliott,Section on Neural Function,NIMH
456,"George Raphael Dold, MS",Section on Instrumentation,Rossella  Falcone,Section on Neural Coding and Computation,NIMH
457,"George Raphael Dold, MS",Section on Instrumentation,"Jinsoo  Hong, MS, PhD",Section on PET Radiopharmaceutical Sciences,NIMH
459,"George Raphael Dold, MS",Section on Instrumentation,Camilla Rose-Marie Karlsson,Section on Neuroplasticity,NIMH
460,"George Raphael Dold, MS",Section on Instrumentation,Kenji  Koyano,Section on Cognitive Neurophysiology and Imaging,NIMH
461,"George Raphael Dold, MS",Section on Instrumentation,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH
462,"George Raphael Dold, MS",Section on Instrumentation,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
463,"George Raphael Dold, MS",Section on Instrumentation,"Shizhe Steve Li, PhD",Magnetic Resonance Core,NIMH
464,"George Raphael Dold, MS",Section on Instrumentation,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH
465,"George Raphael Dold, MS",Section on Instrumentation,"Andrew Rattin Mitz, PhD",Section on Neurobiology of Learning and Memory,NIMH
466,"George Raphael Dold, MS",Section on Instrumentation,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH
467,"George Raphael Dold, MS",Section on Instrumentation,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH
468,"George Raphael Dold, MS",Section on Instrumentation,"James M Pickel, PhD, AB",Transgenic Core,NIMH
469,"George Raphael Dold, MS",Section on Instrumentation,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,NIMH
470,"George Raphael Dold, MS",Section on Instrumentation,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH
471,"George Raphael Dold, MS",Section on Instrumentation,"Jia  Qi, PhD",Unit on Functional Neural Circuits,NIMH
472,"George Raphael Dold, MS",Section on Instrumentation,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
473,"George Raphael Dold, MS",Section on Instrumentation,"Vinai  Roopchansingh, PhD",Functional MRI Core,NIMH
474,"George Raphael Dold, MS",Section on Instrumentation,"Richard C Saunders, PhD",Section on Learning and Decision Making,NIMH
475,"George Raphael Dold, MS",Section on Instrumentation,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH
476,"George Raphael Dold, MS",Section on Instrumentation,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH
477,"George Raphael Dold, MS",Section on Instrumentation,"Benjamin H White, PhD",Section on Neural Function,NIMH
478,"George Raphael Dold, MS",Section on Instrumentation,Ma  Xiaoyu,Clinical and Translational Neuroscience Branch,NIMH
479,"George Raphael Dold, MS",Section on Instrumentation,"Walter Scott Young, MD, PhD, MPH",Section on Neural Gene Expression,NIMH
508,"Heather A Cameron, PhD",Section on Neuroplasticity,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
509,"Heather A Cameron, PhD",Section on Neuroplasticity,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH
510,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
511,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
512,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH
517,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Arash  Afraz, PhD, MD","Unit on Neurons, Circuits and Behavior",NIMH
518,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
519,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH
520,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
521,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH
522,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH
523,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
524,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Miles  Herkenham, PhD",Section on Functional Neroanatomy,NIMH
525,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH
526,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH
527,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH
528,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
529,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH
530,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH
531,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH
532,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"James M Pickel, PhD, AB",Transgenic Core,NIMH
533,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH
534,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
535,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH
536,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Carolyn E Smith, PhD",Section on Neuro-adaptation and Protein Metabolism,NIMH
537,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
538,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH
539,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH
540,"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Walter Scott Young, MD, PhD, MPH",Section on Neural Gene Expression,NIMH
542,"James M Pickel, PhD, AB",Transgenic Core,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH
543,"James M Pickel, PhD, AB",Transgenic Core,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
544,"James M Pickel, PhD, AB",Transgenic Core,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH
545,"James M Pickel, PhD, AB",Transgenic Core,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
576,"Jun  Shen, PhD",Magnetic Resonance Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
577,"Jun  Shen, PhD",Magnetic Resonance Core,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH
578,"Jun  Shen, PhD",Magnetic Resonance Core,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH
579,"Jun  Shen, PhD",Magnetic Resonance Core,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH
580,"Jun  Shen, PhD",Magnetic Resonance Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
597,"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
598,"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
604,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
605,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
606,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Bhaskar S Kolachana, PhD",Human Brain Collection Core,NIMH
607,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
608,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Katherine  Reding,Section on Behavioral Endocrinology,NIMH
