@_fa,citedby-count,dc:creator,dc:identifier,dc:title,eid,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:coverDisplayDate,prism:doi,prism:eIssn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,source-id,subtype,subtypeDescription
true,268,Alexander-Bloch A.,SCOPUS_ID:84876682042,Imaging structural co-variance between human brain regions,2-s2.0-84876682042,0,False,NRN3465,Journal,2013-05-01,May 2013,10.1038/nrn3465,14710048,1471003X,5,322-336,Nature Reviews Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/84876682042,14,23531697,17437,re,Review
true,261,Hibar D.,SCOPUS_ID:84926395609,Common genetic variants influence human subcortical brain structures,2-s2.0-84926395609,0,False,,Journal,2015-04-09,9 April 2015,10.1038/nature14101,14764687,00280836,7546,224-229,Nature,https://api.elsevier.com/content/abstract/scopus_id/84926395609,520,25607358,21206,ar,Article
true,243,Kiezun A.,SCOPUS_ID:84861618864,Exome sequencing and the genetic basis of complex traits,2-s2.0-84861618864,0,False,NG2303,Journal,2012-06-01,June 2012,10.1038/ng.2303,15461718,10614036,6,623-630,Nature Genetics,https://api.elsevier.com/content/abstract/scopus_id/84861618864,44,22641211,18990,re,Review
true,224,Shaw P.,SCOPUS_ID:84898758846,Emotion dysregulation in attention deficit hyperactivity disorder,2-s2.0-84898758846,0,False,,Journal,2014-03-01,1 March 2014,10.1176/appi.ajp.2013.13070966,15357228,0002953X,3,276-293,American Journal of Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84898758846,171,24480998,17664,re,Review
true,222,Wallwork R.,SCOPUS_ID:84860839624,Searching for a consensus five-factor model of the Positive and Negative Syndrome Scale for schizophrenia,2-s2.0-84860839624,0,False,S0920996412000564,Journal,2012-05-01,May 2012,10.1016/j.schres.2012.01.031,15732509,09209964,1-3,246-250,Schizophrenia Research,https://api.elsevier.com/content/abstract/scopus_id/84860839624,137,22356801,19355,ar,Article
true,222,Murphy K.,SCOPUS_ID:84880332316,Resting-state fMRI confounds and cleanup,2-s2.0-84880332316,0,False,S1053811913003170,Journal,2013-10-15,15 October 2013,10.1016/j.neuroimage.2013.04.001,10959572,10538119,,349-359,NeuroImage,https://api.elsevier.com/content/abstract/scopus_id/84880332316,80,23571418,17495,ar,Article
true,219,Thomas C.,SCOPUS_ID:84915758306,Anatomical accuracy of brain connections derived from diffusion MRI tractography is inherently limited,2-s2.0-84915758306,1,True,,Journal,2014-11-18,18 November 2014,10.1073/pnas.1405672111,10916490,00278424,46,16574-16579,Proceedings of the National Academy of Sciences of the United States of America,https://api.elsevier.com/content/abstract/scopus_id/84915758306,111,25368179,21121,ar,Article
true,213,Aan Het Rot M.,SCOPUS_ID:84866041702,Ketamine for depression: Where do we go from here?,2-s2.0-84866041702,0,False,S0006322312004179,Journal,2012-10-01,1 October 2012,10.1016/j.biopsych.2012.05.003,18732402,00063223,7,537-547,Biological Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84866041702,72,22705040,14308,re,Review
true,206,Nakazawa K.,SCOPUS_ID:84856102195,GABAergic interneuron origin of schizophrenia pathophysiology,2-s2.0-84856102195,0,False,S0028390811000256,Journal,2012-03-01,March 2012,10.1016/j.neuropharm.2011.01.022,18737064,00283908,3,1574-1583,Neuropharmacology,https://api.elsevier.com/content/abstract/scopus_id/84856102195,62,21277876,20435,re,Review
true,205,Numata S.,SCOPUS_ID:84857062545,DNA methylation signatures in development and aging of the human prefrontal cortex,2-s2.0-84857062545,1,True,S0002929711005556,Journal,2012-02-10,10 February 2012,10.1016/j.ajhg.2011.12.020,15376605,00029297,2,260-272,American Journal of Human Genetics,https://api.elsevier.com/content/abstract/scopus_id/84857062545,90,22305529,21677,ar,Article
true,203,Blair R.,SCOPUS_ID:84886101058,The neurobiology of psychopathic traits in youths,2-s2.0-84886101058,0,False,NRN3577,Journal,2013-11-01,November 2013,10.1038/nrn3577,14710048,1471003X,11,786-799,Nature Reviews Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/84886101058,14,24105343,17437,re,Review
true,194,Hirvonen J.,SCOPUS_ID:84861456223,Reversible and regionally selective downregulation of brain cannabinoid CB<inf>1</inf>receptors in chronic daily cannabis smokers,2-s2.0-84861456223,0,False,MP201182,Journal,2012-06-01,June 2012,10.1038/mp.2011.82,14765578,13594184,6,642-649,Molecular Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84861456223,17,21747398,17382,ar,Article
true,184,Chiu C.,SCOPUS_ID:84878218449,Therapeutic potential of mood stabilizers lithium and valproic acid: Beyond bipolar disorder,2-s2.0-84878218449,1,True,,Journal,2013-01-01,20130101,10.1124/pr.111.005512,15210081,00316997,1,105-142,Pharmacological Reviews,https://api.elsevier.com/content/abstract/scopus_id/84878218449,65,23300133,21191,re,Review
true,182,Schaefer J.,SCOPUS_ID:84884148956,The global cognitive impairment in schizophrenia: Consistent over decades and around the world,2-s2.0-84884148956,0,False,S0920996413003538,Journal,2013-10-01,October 2013,10.1016/j.schres.2013.07.009,15732509,09209964,1,42-50,Schizophrenia Research,https://api.elsevier.com/content/abstract/scopus_id/84884148956,150,23911259,19355,re,Review
true,172,Avenevoli S.,SCOPUS_ID:84937992341,"Major Depression in the National Comorbidity Survey–Adolescent Supplement: Prevalence, Correlates, and Treatment",2-s2.0-84937992341,0,False,S0890856714007321,Journal,2015-01-01,1 January 2015,10.1016/j.jaac.2014.10.010,15275418,08908567,1,37-44.e2,Journal of the American Academy of Child and Adolescent Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84937992341,54,25524788,17643,ar,Article
true,169,Ibrahim L.,SCOPUS_ID:84859777474,"Course of improvement in depressive symptoms to a single intravenous infusion of ketamine vs Add-on riluzole: Results from a 4-week, double-blind, placebo-controlled study",2-s2.0-84859777474,1,True,NPP2011338,Journal,2012-05-01,May 2012,10.1038/npp.2011.338,1740634X,0893133X,6,1526-1533,Neuropsychopharmacology,https://api.elsevier.com/content/abstract/scopus_id/84859777474,37,22298121,18017,ar,Article
true,168,Handwerker D.,SCOPUS_ID:84866507939,Periodic changes in fMRI connectivity,2-s2.0-84866507939,0,False,S1053811912007124,Journal,2012-11-15,15 November 2012,10.1016/j.neuroimage.2012.06.078,10959572,10538119,3,1712-1719,NeuroImage,https://api.elsevier.com/content/abstract/scopus_id/84866507939,63,22796990,17495,ar,Article
true,151,Alstott J.,SCOPUS_ID:84898616507,Powerlaw: A python package for analysis of heavy-tailed distributions,2-s2.0-84898616507,1,True,,Journal,2014-01-29,29 January 2014,10.1371/journal.pone.0085777,19326203,,1,,PLoS ONE,https://api.elsevier.com/content/abstract/scopus_id/84898616507,9,24489671,10600153309,ar,Article
true,149,Gotts S.,SCOPUS_ID:84866396847,Fractionation of social brain circuits in autism spectrum disorders,2-s2.0-84866396847,0,False,,Journal,2012-01-01,September 2012,10.1093/brain/aws160,14602156,00068950,9,2711-2725,Brain,https://api.elsevier.com/content/abstract/scopus_id/84866396847,135,22791801,14317,ar,Article
true,147,Vértes P.,SCOPUS_ID:84859569776,Simple models of human brain functional networks,2-s2.0-84859569776,1,True,,Journal,2012-04-10,10 April 2012,10.1073/pnas.1111738109,10916490,00278424,15,5868-5873,Proceedings of the National Academy of Sciences of the United States of America,https://api.elsevier.com/content/abstract/scopus_id/84859569776,109,22467830,21121,ar,Article
true,144,Kundu P.,SCOPUS_ID:84857738843,Differentiating BOLD and non-BOLD signals in fMRI time series using multi-echo EPI,2-s2.0-84857738843,0,False,S1053811911014303,Journal,2012-04-15,15 April 2012,10.1016/j.neuroimage.2011.12.028,10959572,10538119,3,1759-1770,NeuroImage,https://api.elsevier.com/content/abstract/scopus_id/84857738843,60,22209809,17495,ar,Article
true,140,Rudebeck P.,SCOPUS_ID:84880854985,"Prefrontal mechanisms of behavioral flexibility, emotion regulation and value updating",2-s2.0-84880854985,0,False,NN3440,Journal,2013-08-01,August 2013,10.1038/nn.3440,15461726,10976256,8,1140-1145,Nature Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/84880854985,16,23792944,17436,ar,Article
true,140,Goddings A.,SCOPUS_ID:84896735753,The influence of puberty on subcortical brain development,2-s2.0-84896735753,1,True,S1053811913010094,Journal,2014-03-01,March 2014,10.1016/j.neuroimage.2013.09.073,10959572,10538119,,242-251,NeuroImage,https://api.elsevier.com/content/abstract/scopus_id/84896735753,88,24121203,17495,ar,Article
true,135,Alexander-Bloch A.,SCOPUS_ID:84873694011,The convergence of maturational change and structural covariance in human cortical networks,2-s2.0-84873694011,1,True,,Journal,2013-02-13,13 February 2013,10.1523/JNEUROSCI.3554-12.2013,15292401,02706474,7,2889-2899,Journal of Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/84873694011,33,23407947,16764,ar,Article
true,131,Alexander-Bloch A.,SCOPUS_ID:84870818294,The anatomical distance of functional connections predicts brain network topology in health and schizophrenia,2-s2.0-84870818294,1,True,,Journal,2013-01-01,January 2013,10.1093/cercor/bhr388,14602199,10473211,1,127-138,Cerebral Cortex,https://api.elsevier.com/content/abstract/scopus_id/84870818294,23,22275481,14855,ar,Article
true,129,Schork A.,SCOPUS_ID:84876847154,All SNPs are not created equal: Genome-wide association studies reveal a consistent pattern of enrichment among functionally annotated SNPs,2-s2.0-84876847154,1,True,,Journal,2013-04-01,1 April 2013,10.1371/journal.pgen.1003449,15537404,15537390,4,,PLoS Genetics,https://api.elsevier.com/content/abstract/scopus_id/84876847154,9,23637621,4000151808,ar,Article
true,128,Poldrack R.,SCOPUS_ID:85008419692,Scanning the horizon: Towards transparent and reproducible neuroimaging research,2-s2.0-85008419692,0,False,,Journal,2017-02-01,1 February 2017,10.1038/nrn.2016.167,14710048,1471003X,2,115-126,Nature Reviews Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/85008419692,18,28053326,17437,ar,Article
true,128,Spaak E.,SCOPUS_ID:84871263446,Layer-specific entrainment of gamma-band neural activity by the alpha rhythm in monkey visual cortex,2-s2.0-84871263446,1,True,S0960982212012055,Journal,2012-12-18,18 December 2012,10.1016/j.cub.2012.10.020,,09609822,24,2313-2318,Current Biology,https://api.elsevier.com/content/abstract/scopus_id/84871263446,22,23159599,15537,ar,Article
true,124,Stewart S.,SCOPUS_ID:84879422520,Genome-wide association study of obsessive-compulsive disorder,2-s2.0-84879422520,1,True,MP201285,Journal,2013-07-01,July 2013,10.1038/mp.2012.85,14765578,13594184,7,788-798,Molecular Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84879422520,18,22889921,17382,ar,Article
true,121,Lissek S.,SCOPUS_ID:84899107404,Generalized anxiety disorder is associated with overgeneralization of classically conditioned fear,2-s2.0-84899107404,0,False,S000632231300680X,Journal,2014-06-01,1 June 2014,10.1016/j.biopsych.2013.07.025,18732402,00063223,11,909-915,Biological Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84899107404,75,24001473,14308,ar,Article
true,121,Kim J.,SCOPUS_ID:84863230195,Interplay between DISC1 and GABA signaling regulates neurogenesis in mice and risk for schizophrenia,2-s2.0-84863230195,1,True,S0092867412001596,Journal,2012-03-02,2 March 2012,10.1016/j.cell.2011.12.037,10974172,00928674,5,1051-1064,Cell,https://api.elsevier.com/content/abstract/scopus_id/84863230195,148,22385968,18434,ar,Article
true,120,Tremblay R.,SCOPUS_ID:84992129616,GABAergic Interneurons in the Neocortex: From Cellular Properties to Circuits,2-s2.0-84992129616,1,True,S0896627316303117,Journal,2016-07-20,20 July 2016,10.1016/j.neuron.2016.06.033,10974199,08966273,2,260-292,Neuron,https://api.elsevier.com/content/abstract/scopus_id/84992129616,91,27477017,17978,re,Review
true,119,Zarate C.,SCOPUS_ID:84880829258,A randomized trial of a low-trapping nonselective N-methyl-D-aspartate channel blocker in major depression,2-s2.0-84880829258,0,False,S0006322312009419,Journal,2013-08-15,15 August 2013,10.1016/j.biopsych.2012.10.019,18732402,00063223,4,257-264,Biological Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84880829258,74,23206319,14308,ar,Article
true,118,Kreisl W.,SCOPUS_ID:84871920442,A genetic polymorphism for translocator protein 18 kDa affects both in vitro and in vivo radioligand binding in human brain to this putative biomarker of neuroinflammation,2-s2.0-84871920442,0,False,JCBFM2012131,Journal,2013-01-01,January 2013,10.1038/jcbfm.2012.131,15597016,0271678X,1,53-58,Journal of Cerebral Blood Flow and Metabolism,https://api.elsevier.com/content/abstract/scopus_id/84871920442,33,22968319,16667,ar,Article
true,117,Merikangas K.,SCOPUS_ID:84862703200,Epidemiology of substance use disorders,2-s2.0-84862703200,0,False,,Journal,2012-06-01,June 2012,10.1007/s00439-012-1168-0,14321203,03406717,6,779-789,Human Genetics,https://api.elsevier.com/content/abstract/scopus_id/84862703200,131,22543841,22245,re,Review
true,113,Fromer M.,SCOPUS_ID:84988697987,Gene expression elucidates functional impact of polygenic risk for schizophrenia,2-s2.0-84988697987,0,False,,Journal,2016-10-26,26 October 2016,10.1038/nn.4399,15461726,10976256,11,1442-1453,Nature Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/84988697987,19,27668389,17436,re,Review
true,111,Davis L.,SCOPUS_ID:84887265151,Partitioning the Heritability of Tourette Syndrome and Obsessive Compulsive Disorder Reveals Differences in Genetic Architecture,2-s2.0-84887265151,1,True,,Journal,2013-10-01,October 2013,10.1371/journal.pgen.1003864,15537404,15537390,10,,PLoS Genetics,https://api.elsevier.com/content/abstract/scopus_id/84887265151,9,24204291,4000151808,ar,Article
true,108,Raznahan A.,SCOPUS_ID:84893429469,Longitudinal four-dimensional mapping of subcortical anatomy in human development,2-s2.0-84893429469,1,True,,Journal,2014-01-28,28 January 2014,10.1073/pnas.1316911111,10916490,00278424,4,1592-1597,Proceedings of the National Academy of Sciences of the United States of America,https://api.elsevier.com/content/abstract/scopus_id/84893429469,111,24474784,21121,ar,Article
true,105,Rudebeck P.,SCOPUS_ID:84926308512,The orbitofrontal oracle: Cortical mechanisms for the prediction and evaluation of specific behavioral outcomes,2-s2.0-84926308512,1,True,S0896627314009969,Journal,2014-12-01,1 December 2014,10.1016/j.neuron.2014.10.049,15279995,00904295,6,1143-1156,Urology,https://api.elsevier.com/content/abstract/scopus_id/84926308512,84,25521376,20558,ar,Article
true,104,Zarate C.,SCOPUS_ID:84864286398,"Relationship of ketamine's plasma metabolites with response, diagnosis, and side effects in major depression",2-s2.0-84864286398,0,False,S0006322312002211,Journal,2012-08-15,15 August 2012,10.1016/j.biopsych.2012.03.004,18732402,00063223,4,331-338,Biological Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84864286398,72,22516044,14308,ar,Article
true,104,Reveley C.,SCOPUS_ID:84930225710,Superficial white matter fiber systems impede detection of long-range cortical connections in diffusion MR tractography,2-s2.0-84930225710,1,True,,Journal,2015-05-26,26 May 2015,10.1073/pnas.1418198112,10916490,00278424,21,E2820-E2828,Proceedings of the National Academy of Sciences of the United States of America,https://api.elsevier.com/content/abstract/scopus_id/84930225710,112,25964365,21121,ar,Article
true,103,Costello E.,SCOPUS_ID:84901934164,Services for adolescentswith psychiatric disorders: 12-Month data from the National Comorbidity Survey-Adolescent,2-s2.0-84901934164,0,False,,Journal,2014-03-01,1 March 2014,10.1176/appi.ps.201100518,15579700,10752730,3,359-366,Psychiatric Services,https://api.elsevier.com/content/abstract/scopus_id/84901934164,65,24233052,110175,ar,Article
true,101,Ibrahim L.,SCOPUS_ID:84863719297,"A randomized, placebo-controlled, crossover pilot trial of the oral selective NR2B antagonist MK-0657 in patients with treatment-resistant major depressive disorder",2-s2.0-84863719297,0,False,,Journal,2012-08-01,August 2012,10.1097/JCP.0b013e31825d70d6,1533712X,02710749,4,551-557,Journal of Clinical Psychopharmacology,https://api.elsevier.com/content/abstract/scopus_id/84863719297,32,22722512,23008,ar,Article
true,101,Gotts S.,SCOPUS_ID:84883412265,Two distinct forms of functional lateralization in the human brain,2-s2.0-84883412265,1,True,,Journal,2013-09-03,3 September 2013,10.1073/pnas.1302581110,10916490,00278424,36,,Proceedings of the National Academy of Sciences of the United States of America,https://api.elsevier.com/content/abstract/scopus_id/84883412265,110,23959883,21121,ar,Article
true,99,Chen J.,SCOPUS_ID:84862640477,Maternal Deprivation in Rats is Associated with Corticotrophin-Releasing Hormone (CRH) Promoter Hypomethylation and Enhances CRH Transcriptional Responses to Stress in Adulthood,2-s2.0-84862640477,0,False,,Journal,2012-07-01,July 2012,10.1111/j.1365-2826.2012.02306.x,13652826,09538194,7,1055-1064,Journal of Neuroendocrinology,https://api.elsevier.com/content/abstract/scopus_id/84862640477,24,22375940,16745,ar,Article
true,99,Cox R.,SCOPUS_ID:85018771010,FMRI Clustering in AFNI: False-Positive Rates Redux,2-s2.0-85018771010,0,False,,Journal,2017-04-01,April 2017,10.1089/brain.2016.0475,21580022,21580014,3,152-171,Brain Connectivity,https://api.elsevier.com/content/abstract/scopus_id/85018771010,7,28398812,21100299401,ar,Article
true,98,Yoon K.,SCOPUS_ID:84904001347,Modeling a genetic risk for schizophrenia in iPSCs and Mice reveals neural stem cell deficits associated with adherens junctions and polarity,2-s2.0-84904001347,1,True,S1934590914001908,Journal,2014-07-03,3 July 2014,10.1016/j.stem.2014.05.003,18759777,19345909,1,79-91,Cell Stem Cell,https://api.elsevier.com/content/abstract/scopus_id/84904001347,15,24996170,6100153018,ar,Article
true,97,Duncan K.,SCOPUS_ID:84857226538,Evidence for area CA1 as a match/mismatch detector: A high-resolution fMRI study of the human hippocampus,2-s2.0-84857226538,0,False,,Journal,2012-03-01,March 2012,10.1002/hipo.20933,10981063,10509631,3,389-398,Hippocampus,https://api.elsevier.com/content/abstract/scopus_id/84857226538,22,21484934,13923,ar,Article
true,97,Shechner T.,SCOPUS_ID:84860644676,"Attention biases, anxiety, and development: Toward or away from threats or rewards?",2-s2.0-84860644676,0,False,,Journal,2012-04-01,April 2012,10.1002/da.20914,15206394,10914269,4,282-294,Depression and Anxiety,https://api.elsevier.com/content/abstract/scopus_id/84860644676,29,22170764,13487,cp,Conference Paper
true,96,Wiener L.,SCOPUS_ID:84868628457,Allowing adolescents and young adults to plan their end-of-life care,2-s2.0-84868628457,0,False,,Journal,2012-01-01,November 2012,10.1542/peds.2012-0663,10984275,00314005,5,897-905,Pediatrics,https://api.elsevier.com/content/abstract/scopus_id/84868628457,130,23045560,15756,ar,Article
true,94,Chen G.,SCOPUS_ID:84874769744,Linear mixed-effects modeling approach to FMRI group analysis,2-s2.0-84874769744,0,False,S1053811913000943,Journal,2013-06-01,June 2013,10.1016/j.neuroimage.2013.01.047,10959572,10538119,,176-190,NeuroImage,https://api.elsevier.com/content/abstract/scopus_id/84874769744,73,23376789,17495,ar,Article
true,93,Roy A.,SCOPUS_ID:84875232388,Intrinsic functional connectivity of amygdala-based networks in adolescent generalized anxiety disorder,2-s2.0-84875232388,0,False,S0890856712009963,Journal,2013-03-01,March 2013,10.1016/j.jaac.2012.12.010,15275418,08908567,3,,Journal of the American Academy of Child and Adolescent Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84875232388,52,23452685,17643,ar,Article
true,91,Lee F.,SCOPUS_ID:84908590644,Adolescent mental health-Opportunity and obligation: Emerging neuroscience offers hope for treatments,2-s2.0-84908590644,0,False,,Journal,2014-10-31,31 October 2014,10.1126/science.1260497,10959203,00368075,6209,547-549,Science,https://api.elsevier.com/content/abstract/scopus_id/84908590644,346,25359951,23571,ar,Article
true,91,Avidan G.,SCOPUS_ID:84897759285,Selective dissociation between core and extended regions of the face processing network in congenital prosopagnosia,2-s2.0-84897759285,0,False,,Journal,2014-01-01,June 2014,10.1093/cercor/bht007,14602199,10473211,6,1565-1578,Cerebral Cortex,https://api.elsevier.com/content/abstract/scopus_id/84897759285,24,23377287,14855,ar,Article
true,91,Mathews D.,SCOPUS_ID:84863203834,Targeting the glutamatergic system to treat major depressive disorder: Rationale and progress to date,2-s2.0-84863203834,0,False,,Journal,2012-07-05,2012,10.2165/11633130-000000000-00000,11791950,00126667,10,1313-1333,Drugs,https://api.elsevier.com/content/abstract/scopus_id/84863203834,72,22731961,21239,ar,Article
true,89,Saunders A.,SCOPUS_ID:84929079352,A direct GABAergic output from the basal ganglia to frontal cortex,2-s2.0-84929079352,0,False,nature14179,Journal,2015-05-07,7 May 2015,10.1038/nature14179,14764687,00280836,7550,85-89,Nature,https://api.elsevier.com/content/abstract/scopus_id/84929079352,521,25739505,21206,ar,Article
true,89,Saavedra J.,SCOPUS_ID:84866788499,Angiotensin II AT <inf>1</inf> receptor blockers as treatments for inflammatory brain disorders,2-s2.0-84866788499,0,False,,Journal,2012-11-01,November 2012,10.1042/CS20120078,,01435221,10,567-590,Clinical Science,https://api.elsevier.com/content/abstract/scopus_id/84866788499,123,22827472,29710,ar,Article
true,88,Shriki O.,SCOPUS_ID:84876266081,Neuronal avalanches in the resting MEG of the human brain,2-s2.0-84876266081,1,True,,Journal,2013-04-17,17 April 2013,10.1523/JNEUROSCI.4286-12.2013,15292401,02706474,16,7079-7090,Journal of Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/84876266081,33,23595765,16764,ar,Article
true,88,Nurnberger J.,SCOPUS_ID:84902204761,Identification of pathways for bipolar disorder: A meta-analysis,2-s2.0-84902204761,1,True,,Journal,2014-06-01,1 June 2014,10.1001/jamapsychiatry.2014.176,,2168622X,6,657-664,JAMA Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84902204761,71,24718920,21100228547,ar,Article
true,88,Giedd J.,SCOPUS_ID:84926635437,Child psychiatry branch of the national institute of mental health longitudinal structural magnetic resonance imaging study of human brain development,2-s2.0-84926635437,1,True,npp2014236,Journal,2015-01-01,1 January 2015,10.1038/npp.2014.236,1740634X,0893133X,1,43-49,Neuropsychopharmacology,https://api.elsevier.com/content/abstract/scopus_id/84926635437,40,25195638,18017,re,Review
true,87,LeDoux J.,SCOPUS_ID:84994112822,Using neuroscience to help understand fear and anxiety: A two-system framework,2-s2.0-84994112822,0,False,,Journal,2016-11-01,1 November 2016,10.1176/appi.ajp.2016.16030353,15357228,0002953X,11,1083-1093,American Journal of Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84994112822,173,27609244,17664,re,Review
true,87,Dal Monte O.,SCOPUS_ID:84922299455,CSF and blood oxytocin concentration changes following intranasal delivery in macaque,2-s2.0-84922299455,1,True,,Journal,2014-08-18,18 August 2014,10.1371/journal.pone.0103677,19326203,,8,,PLoS ONE,https://api.elsevier.com/content/abstract/scopus_id/84922299455,9,25133536,10600153309,ar,Article
true,86,Ellegood J.,SCOPUS_ID:84922229342,Clustering autism: Using neuroanatomical differences in 26 mouse models to gain insight into the heterogeneity,2-s2.0-84922229342,0,False,,Journal,2015-01-01,5 February 2015,10.1038/mp.2014.98,14765578,13594184,1,118-125,Molecular Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84922229342,20,25199916,17382,ar,Article
true,86,Stringaris A.,SCOPUS_ID:84867573030,The Affective Reactivity Index: A concise irritability scale for clinical and research settings,2-s2.0-84867573030,1,True,,Journal,2012-11-01,November 2012,10.1111/j.1469-7610.2012.02561.x,14697610,00219630,11,1109-1117,Journal of Child Psychology and Psychiatry and Allied Disciplines,https://api.elsevier.com/content/abstract/scopus_id/84867573030,53,22574736,15402,ar,Article
true,84,Niciu M.,SCOPUS_ID:84891851738,Glutamate receptor antagonists as fast-acting therapeutic alternatives for the treatment of depression: Ketamine and other compounds,2-s2.0-84891851738,0,False,,Book Series,2014-01-01,January 2014,10.1146/annurev-pharmtox-011613-135950,15454304,03621642,,119-139,Annual Review of Pharmacology and Toxicology,https://api.elsevier.com/content/abstract/scopus_id/84891851738,54,24392693,19479,re,Review
